Location	level	pack_id	card_seq	RuleCategory	Tags	trigger	base	translate	wordcategory	sentence_with_gap	Sentence_Eng	outcome (SM/NM/AM/NONE)	Target_word	WhyEng	WhyCym	RuleCat	frame_id	qa_status (Draft / Generated / Checked / Fixed)
public/data/			c000012	Article	Article|Noun-fem	y	mam	mother	noun-fem	Mae’r [ ] yn gweithio yn yr ysbyty.	The mum works in the hospital	SM	fam	After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So mam becomes fam (m → f).	Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly mam → fam (m → f).			
public/data/			c000013	Article	Article|Noun-fem	y	gorsaf	station	noun-fem	Mae’r trên yn aros ar y [ ] nesaf.	The train stops at the next station	SM	orsaf	After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So taith becomes daith (t → d).	Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly taith → daith (t → d).			
public/data/			c000014	Article	Article|Noun-fem	y	merch	girl/daughter	noun-fem	Dyma’r [ ] sy’n arwain y prosiect.	Here's the girl who is leading the project	SM	ferch	After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So merch becomes ferch (m → f).	Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly merch → ferch (m → f).			
public/data/			c000015	Article	Article|Noun-fem	y	cerddoriaeth	music	noun-fem	Roedd y [ ] yn fyw a phwerus.	The music was live and powerful	SM	gerddoriaeth	After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So cerddoriaeth becomes gerddoriaeth (c → g).	Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly cerddoriaeth → gerddoriaeth (c → g).			
public/data/			c000016	Article	Article|Noun-fem	y	cyfres	series	noun-fem	A yw’r [ ] newydd yn dechrau heno?	Does the new series start tonight?	SM	gyfres	After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So cyfres becomes gyfres (c → g).	Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly cyfres → gyfres (c → g).			
public/data/			c000017	Article	Article|Noun-fem	y	cymdeithas	society/association	noun-fem	Mae’r [ ] yn cynnal cyfarfod blynyddol.	The society holds an annual meeting	SM	gymdeithas	After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So cymdeithas becomes gymdeithas (c → g).	Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly cymdeithas → gymdeithas (c → g).			
public/data/			c000018	Article	Article|Noun-fem	y	problem	problem	noun-fem	Sut y gallwn ni ddatrys y [ ] hon?	How can we solve this problem?	SM	broblem	After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So problem becomes broblem (p → b).	Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly problem → broblem (p → b).			
public/data/			c000019	Article	Article|Noun-fem	y	prifysgol	university	noun-fem	Mae’r [ ] yn agos at y ddinas.	The university is close to the city	SM	brifysgol	After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So prifysgol becomes brifysgol (p → b).	Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly prifysgol → brifysgol (p → b).			
public/data/			c000020	Article	Article|Noun-fem	y	cymuned	community	noun-fem	Mae’r [ ] yn gryf iawn yma.	The community is strong here	SM	gymuned	After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So cymuned becomes gymuned (c → g).	Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly cymuned → gymuned (c → g).			
public/data/			c000021	Article	Article|Noun-fem	y	canolfan	centre	noun-fem	Mae’r bws yn stopio ger y [ ].	The bus stops near the centre	SM	ganolfan	After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So canolfan becomes ganolfan (c → g).	Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly canolfan → ganolfan (c → g).			
public/data/	Uwch		c000022	Article	Article|Noun-fem	y	canrif	century	noun-fem	Yn y [ ] diwethaf gwelwyd newidiadau mawr.	In the last century, big changes have been seen.	SM	ganrif	After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So canrif becomes ganrif (c → g).	Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly canrif → ganrif (c → g).			
public/data/			c000023	Numerals	Numbers|Years	un	blwyddyn	year	noun-fem	Dyna un [ ] yn unig.	That's just one year	SM	flwyddyn	With 'un' before a feminine noun, the noun soft-mutates, so blwyddyn becomes flwyddyn (b → f).	Gyda 'un' cyn enw benywaidd, mae’r enw’n treiglo’n feddal, felly blwyddyn → flwyddyn (b → f).			
public/data/			c000024	Numerals	Numbers|Years	dwy	blynedd	years (in time phrases)	noun-fem	Arhoson ni yno am dwy [ ].	We stayed there for two years	SM	flynedd	With 'dwy' before a feminine noun, the noun soft-mutates, so blynedd becomes flynedd (b → f).	Gyda 'dwy' cyn enw benywaidd, mae’r enw’n treiglo’n feddal, felly blynedd → flynedd (b → f).			
public/data/			c000025	Numerals	Numbers|Years	tair	blynedd	years (in time phrases)	noun-fem	Mae’r cwrs yn para tair [ ].	The course last for three years	NONE	blynedd	In the 'tair blynedd' time phrase, there is no mutation, so it stays blynedd.	Yn y mynegiant amser 'tair blynedd', does dim treiglad, felly mae’n aros yn blynedd.			
public/data/			c000026	Numerals	Numbers|Years	pedair	blynedd	years (in time phrases)	noun-fem	Bydd y les yn para pedair [ ].	The lease will last for four years	NONE	blynedd	In the 'pedair blynedd' time phrase, there is no mutation, so it stays blynedd.	Yn y mynegiant amser 'pedair blynedd', does dim treiglad, felly mae’n aros yn blynedd.			
public/data/			c000027	Numerals	Numbers|Years	pum	blynedd	years (in time phrases)	noun-fem	Buon nhw yno am bum [ ].	They were there for five years	NM	mlynedd	With 'pum' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).	Gyda 'pum' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m).			
public/data/			c000028	Numerals	Numbers|Years	chwe	blynedd	years (in time phrases)	noun-fem	Cafodd y cynllun ei ohirio am chwe [ ].		NM	mlynedd	With 'chwe' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).	Gyda 'chwe' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m).			
public/data/			c000029	Numerals	Numbers|Years	saith	blynedd	years (in time phrases)	noun-fem	Ar ôl saith [ ].		NM	mlynedd	With 'saith' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).	Gyda 'saith' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m).			
public/data/			c000030	Numerals	Numbers|Years	wyth	blynedd	years (in time phrases)	noun-fem	Roedden nhw’n briod ers wyth [ ].		NM	mlynedd	With 'wyth' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).	Gyda 'wyth' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m).			
public/data/			c000031	Numerals	Numbers|Years	naw	blynedd	years (in time phrases)	noun-fem	Buodd y prosiect yn rhedeg am naw [ ].		NM	mlynedd	With 'naw' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).	Gyda 'naw' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m).			
public/data/			c000032	Numerals	Numbers|Years	deg	blynedd	years (in time phrases)	noun-fem	Roedd y contract yn ddilys am deng [ ].		NM	mlynedd	In year expressions, 'deg' is written 'teng' before m-, and the noun takes nasal mutation: blynedd becomes mlynedd (b → m).	Mewn mynegiant blynyddoedd, ysgrifennir 'deg' fel 'teng' cyn m-, ac mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m).			
public/data/			c000033	Numerals	Numbers|Years|Vigesimal	deuddeg	blynedd	years (in time phrases)	noun-fem	Symudon nhw ar ôl deuddeg [ ].		NM	mlynedd	With 'deuddeg' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).	Gyda 'deuddeg' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m).			
public/data/			c000034	Numerals	Numbers|Years|Vigesimal	pymtheg	blynedd	years (in time phrases)	noun-fem	Aroson ni am bymtheg [ ] cyn newid gwaith.		NM	mlynedd	With 'pymtheg' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).	Gyda 'pymtheg' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m).			
public/data/			c000035	Numerals	Numbers|Years|Vigesimal	deunaw	blynedd	years (in time phrases)	noun-fem	Cafodd y cwmni ei werthu ar ôl deunaw [ ].		NM	mlynedd	With 'deunaw' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).	Gyda 'deunaw' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m).			
public/data/			c000036	Numerals	Numbers|Years|Vigesimal	ugain	blynedd	years (in time phrases)	noun-fem	Bywodd y teulu dramor am ugain [ ].		NM	mlynedd	With 'ugain' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).	Gyda 'ugain' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m).			
public/data/			c000037	Numerals	Numbers|Years|Vigesimal	deugain	blynedd	years (in time phrases)	noun-fem	Rhys gafodd seibiant o ddeugain [ ].		NM	mlynedd	With 'deugain' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).	Gyda 'deugain' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m).			
public/data/			c000038	Numerals	Numbers|Years	can	blynedd	years (in time phrases)	noun-fem	Mae’r bont yn sefyll ers can [ ].		NM	mlynedd	With 'can' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).	Gyda 'can' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m).			
public/data/			c000039	Numerals	Numbers|Years	pum	blynedd	years (in time phrases)	noun-fem	Prynwyd y tŷ pum [ ] ar hugain yn ôl.		NM	mlynedd	With 'pum' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).	Gyda 'pum' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m).			
public/data/			c000040	Numerals	Numbers|Number+Noun	dau	cwmni	company	noun-masc	Cawsom gynnig gan dau [ ].		SM	gwmni	With 'dau' before a masculine noun, the noun soft-mutates, so cwmni becomes gwmni (c → g).	Gyda 'dau' cyn enw gwrywaidd, mae’r enw’n treiglo’n feddal, felly cwmni → gwmni (c → g).			
public/data/			c000041	Numerals	Numbers|Number+Noun	dau	teulu	family	noun-masc	Mae dau [ ] yn byw yn y tŷ mawr.		SM	deulu	With 'dau' before a masculine noun, the noun soft-mutates, so teulu becomes deulu (t → d).	Gyda 'dau' cyn enw gwrywaidd, mae’r enw’n treiglo’n feddal, felly teulu → deulu (t → d).			
public/data/			c000042	Numerals	Numbers|Number+Noun	dau	cynllun	plan/scheme	noun-masc	Cyflwynwyd dau [ ] i’r pwyllgor.		SM	gynllun	With 'dau' before a masculine noun, the noun soft-mutates, so cynllun becomes gynllun (c → g).	Gyda 'dau' cyn enw gwrywaidd, mae’r enw’n treiglo’n feddal, felly cynllun → gynllun (c → g).			
public/data/			c000043	Numerals	Numbers|Number+Noun	dau	dyn	man	noun-masc	Gwelon ni dau [ ] yn aros wrth y drws.		SM	ddyn	With 'dau' before a masculine noun, the noun soft-mutates, so dyn becomes ddyn (d → dd).	Gyda 'dau' cyn enw gwrywaidd, mae’r enw’n treiglo’n feddal, felly dyn → ddyn (d → dd).			
public/data/			c000044	Numerals	Numbers|Number+Noun	dau	mudiad	movement	noun-masc	Mae dau [ ] yn cefnogi’r achos.		SM	fudiad	With 'dau' before a masculine noun, the noun soft-mutates, so mudiad becomes fudiad (m → f).	Gyda 'dau' cyn enw gwrywaidd, mae’r enw’n treiglo’n feddal, felly mudiad → fudiad (m → f).			
public/data/			c000045	Numerals	Numbers|Number+Noun	dau	tîm	team	noun-masc	Gêm rhwng dau [ ].		SM	dîm	With 'dau' before a masculine noun, the noun soft-mutates, so tîm becomes dîm (t → d).	Gyda 'dau' cyn enw gwrywaidd, mae’r enw’n treiglo’n feddal, felly tîm → dîm (t → d).			
public/data/			c000046	Numerals	Numbers|Number+Noun	dau	polisi	policy	noun-masc	Cawsom dau [ ] newydd gan y cwmni.		SM	bolisi	With 'dau' before a masculine noun, the noun soft-mutates, so polisi becomes bolisi (p → b).	Gyda 'dau' cyn enw gwrywaidd, mae’r enw’n treiglo’n feddal, felly polisi → bolisi (p → b).			
public/data/			c000047	Numerals	Numbers|Number+Noun	dau	cyfrwng	medium/channel	noun-masc	Dewison nhw dau [ ] cyfathrebu.		SM	gyfrwng	With 'dau' before a masculine noun, the noun soft-mutates, so cyfrwng becomes gyfrwng (c → g).	Gyda 'dau' cyn enw gwrywaidd, mae’r enw’n treiglo’n feddal, felly cyfrwng → gyfrwng (c → g).			
public/data/			c000048	Numerals	Numbers|Number+Noun	dau	cwestiwn	question	noun-masc	Atebais dau [ ] yn ystod y drafodaeth.		SM	gwestiwn	With 'dau' before a masculine noun, the noun soft-mutates, so cwestiwn becomes gwestiwn (c → g).	Gyda 'dau' cyn enw gwrywaidd, mae’r enw’n treiglo’n feddal, felly cwestiwn → gwestiwn (c → g).			
public/data/			c000049	Numerals	Numbers|Number+Noun	dau	bore	morning	noun-masc	Cawsom gyfarfodydd dau [ ] yn olynol.		SM	fore	With 'dau' before a masculine noun, the noun soft-mutates, so bore becomes fore (b → f).	Gyda 'dau' cyn enw gwrywaidd, mae’r enw’n treiglo’n feddal, felly bore → fore (b → f).			
public/data/			c000050	Numerals	Numbers|Number+Noun	dau	cynnig	offer/proposal	noun-masc	Daeth dau [ ] ar gyfer y swydd.		SM	gynnig	After the number dau (“two”), the following noun takes soft mutation, so cynnig becomes gynnig (c → g).	Ar ôl y rhif dau (“two”), mae’r enw sy’n dilyn yn cael treiglad meddal, felly cynnig → gynnig (c → g).			
public/data/			c000051	Numerals	Numbers|Number+Noun	dau	cofnod	record/entry	noun-masc	Cedwir dau [ ] ar y system.		SM	gofnod	After dau, the following noun takes soft mutation, so cofnod becomes gofnod (c → g).	Ar ôl dau, mae’r enw sy’n dilyn yn cael treiglad meddal, felly cofnod → gofnod (c → g).			
public/data/			c000052	Numerals	Numbers|Number+Noun	dau	cyfarfod	meeting	noun-masc	Mae dau [ ] wedi’u trefnu bore yma.		SM	gyfarfod	After dau, the following noun takes soft mutation, so cyfarfod becomes gyfarfod (c → g).	Ar ôl dau, mae’r enw sy’n dilyn yn cael treiglad meddal, felly cyfarfod → gyfarfod (c → g).			
public/data/			c000053	Numerals	Numbers|Number+Noun	dau	digwyddiad	event	noun-masc	Cafodd dau [ ] eu gohirio.		SM	ddigwyddiad	After dau, the following noun takes soft mutation, so digwyddiad becomes ddigwyddiad (d → dd).	Ar ôl dau, mae’r enw sy’n dilyn yn cael treiglad meddal, felly digwyddiad → ddigwyddiad (d → dd).			
public/data/			c000054	Numerals	Numbers|Number+Noun	dau	dewis	choice/option	noun-masc	Roedden ni’n cael dau [ ] yn y ffurflen.		SM	ddewis	After dau, the following noun takes soft mutation, so dewis becomes ddewis (d → dd).	Ar ôl dau, mae’r enw sy’n dilyn yn cael treiglad meddal, felly dewis → ddewis (d → dd).			
public/data/			c000055	Numerals	Numbers|Number+Noun	dau	prosiect	project	noun-masc	Mae’r adran yn rhedeg dau [ ] eleni.		SM	brosiect	After dau, the following noun takes soft mutation, so prosiect becomes brosiect (p → b).	Ar ôl dau, mae’r enw sy’n dilyn yn cael treiglad meddal, felly prosiect → brosiect (p → b).			
public/data/			c000056	Numerals	Numbers|Number+Noun	dau	grŵp	group	noun-masc	Mae’r dosbarth wedi’i rannu’n dau [ ].		SM	rŵp	After dau, the following noun takes soft mutation. With words starting with g-, the g disappears, so grŵp becomes rŵp.	Ar ôl dau, mae’r enw sy’n dilyn yn cael treiglad meddal. Gyda geiriau sy’n dechrau gyda g-, mae’r g yn diflannu, felly grŵp → rŵp.			
public/data/			c000057	Numerals	Numbers|Number+Noun	dau	papur	paper/document	noun-masc	Mae gen i dau [ ] i’w argraffu.		SM	bapur	After dau, the following noun takes soft mutation, so papur becomes bapur (p → b).	Ar ôl dau, mae’r enw sy’n dilyn yn cael treiglad meddal, felly papur → bapur (p → b).			
public/data/			c000058	Numerals	Numbers|Number+Noun	dau	clwb	club	noun-masc	Mae dau [ ] pêl-droed yn y dref.		SM	glwb	After dau, the following noun takes soft mutation, so clwb becomes glwb (c → g).	Ar ôl dau, mae’r enw sy’n dilyn yn cael treiglad meddal, felly clwb → glwb (c → g).			
public/data/			c000059	Numerals	Numbers|Number+Noun	dau	dosbarth	class	noun-masc	Rydyn ni’n rhedeg dau [ ] bob prynhawn.		SM	ddosbarth	After dau, the following noun takes soft mutation, so dosbarth becomes ddosbarth (d → dd).	Ar ôl dau, mae’r enw sy’n dilyn yn cael treiglad meddal, felly dosbarth → ddosbarth (d → dd).			
public/data/			c000060	Numerals	Numbers|Number+Noun	dau	tad	father	noun-masc	Mae ganddi dau [ ] (un biolegol ac un cam).		SM	dad	After dau, the following noun takes soft mutation, so tad becomes dad (t → d).	Ar ôl dau, mae’r enw sy’n dilyn yn cael treiglad meddal, felly tad → dad (t → d).			
public/data/			c000061	Possessive	Possessive|my	fy	pwyllgor	committee	noun-masc	Dyma fy [ ] i.		NM	mhwyllgor	The possessive fy (“my”) causes nasal mutation on words starting with p/t/c. Here pwyllgor becomes mhwyllgor (p → mh).	Mae’r meddiannol fy (“my”) yn achosi treiglad trwynol ar eiriau sy’n dechrau gyda p/t/c. Yma pwyllgor → mhwyllgor (p → mh).			
public/data/			c000062	Possessive	Possessive|Yours	dy	pwyllgor	committee	noun-masc	Pryd yw dy [ ] di’n cyfarfod?		SM	bwyllgor	The possessive dy (“your”, singular) causes soft mutation, so pwyllgor becomes bwyllgor (p → b).	Mae’r meddiannol dy (“your”, unigol) yn achosi treiglad meddal, felly pwyllgor → bwyllgor (p → b).			
public/data/			c000063	Possessive	Possessive|His	ei	pwyllgor	committee	noun-masc	Cyhoeddodd ef restr ei [ ].		SM	bwyllgor	ei meaning “his” causes soft mutation, so pwyllgor becomes bwyllgor (p → b).	Mae ei sy’n golygu “his” yn achosi treiglad meddal, felly pwyllgor → bwyllgor (p → b).			
public/data/			c000064	Possessive	Possessive	ei	arian	money	noun-masc	Roedd hi’n aros am ei [ ] hi.		AM	harian	ei meaning “her” causes aspirate mutation. With a vowel at the start, this shows as adding h-, so arian becomes harian.	Mae ei sy’n golygu “her” yn achosi treiglad llaes. Gyda llafariad ar y dechrau, mae hyn yn golygu ychwanegu h-, felly arian → harian.			
public/data/			c000065	Possessive	Possessive|Yours	eich	pwyllgor	committee	noun-masc	Faint o waith sydd ar eich [ ] chi?		NONE	pwyllgor	In standard Welsh, eich (“your”, plural/formal) does not trigger mutation here, so it stays pwyllgor.	Yn Gymraeg safonol, nid yw eich (“your”, lluosog/ffurfiol) fel arfer yn achosi treiglad yma, felly mae’n aros yn pwyllgor.			
public/data/			c000066	Possessive	Possessive|my	fy	comisiynydd	commissioner	noun-masc	Dyma fy [ ] i heddiw.		NM	nghomisiynydd	fy (“my”) causes nasal mutation on c-, so comisiynydd becomes nghomisiynydd (c → ngh).	Mae fy (“my”) yn achosi treiglad trwynol ar c-, felly comisiynydd → nghomisiynydd (c → ngh).			
public/data/			c000067	Possessive	Possessive|Yours	dy	comisiynydd	commissioner	noun-masc	Dyma dy [ ] di.		SM	gomisiynydd	dy (“your”, singular) causes soft mutation on c-, so comisiynydd becomes gomisiynydd (c → g).	Mae dy (“your”, unigol) yn achosi treiglad meddal ar c-, felly comisiynydd → gomisiynydd (c → g).			
public/data/			c000068	Possessive	Possessive	ei	comisiynydd	commissioner	noun-masc	Dyma ei [ ] hi.		AM	chomisiynydd	ei meaning “her” causes aspirate mutation on c-, so comisiynydd becomes chomisiynydd (c → ch).	Mae ei sy’n golygu “her” yn achosi treiglad llaes ar c-, felly comisiynydd → chomisiynydd (c → ch).			
public/data/			c000069	Possessive	Possessive|His	ei	comisiynydd	commissioner	noun-masc	Dyma ei [ ] ef.		SM	gomisiynydd	ei meaning “his” causes soft mutation on c-, so comisiynydd becomes gomisiynydd (c → g).	Mae ei sy’n golygu “his” yn achosi treiglad meddal ar c-, felly comisiynydd → gomisiynydd (c → g).			
public/data/			c000070	Possessive	Possessive	ei	cynulleidfa	audience	noun-fem	Cafodd hi gefnogaeth ei [ ].		AM	chynulleidfa	ei meaning “her” causes aspirate mutation on c-, so cynulleidfa becomes chynulleidfa (c → ch).	Mae ei sy’n golygu “her” yn achosi treiglad llaes ar c-, felly cynulleidfa → chynulleidfa (c → ch).			
public/data/			c000071	Possessive	Possessive|His	ei	cynulleidfa	audience	noun-fem	Cafodd ef gefnogaeth ei [ ].		SM	gynulleidfa	ei meaning “his” causes soft mutation on c-, so cynulleidfa becomes gynulleidfa (c → g).	Mae ei sy’n golygu “his” yn achosi treiglad meddal ar c-, felly cynulleidfa → gynulleidfa (c → g).			
public/data/			c000072	Possessive	Possessive|my	fy	gwasg	press/publisher	noun-fem	Mae gen i brofiad yn fy [ ].		NM	ngwasg	fy (“my”) causes nasal mutation on g-, so gwasg becomes ngwasg (g → ng).	Mae fy (“my”) yn achosi treiglad trwynol ar g-, felly gwasg → ngwasg (g → ng).			
public/data/			c000073	Possessive	Possessive|Yours	dy	gwasg	press/publisher	noun-fem	Rwyt ti’n rhedeg dy [ ] di?		SM	wasg	dy causes soft mutation. With words starting with g-, the g disappears, so gwasg becomes wasg.	Mae dy yn achosi treiglad meddal. Gyda geiriau sy’n dechrau gyda g-, mae’r g yn diflannu, felly gwasg → wasg.			
public/data/			c000074	Possessive	Possessive|His	ei	gwasg	press/publisher	noun-fem	Dyna ei [ ] ef yn y dref.		SM	wasg	ei meaning “his” causes soft mutation. With g-, the g disappears, so gwasg becomes wasg.	Mae ei sy’n golygu “his” yn achosi treiglad meddal. Gyda g-, mae’r g yn diflannu, felly gwasg → wasg.			
public/data/			c000075	Possessive	Possessive|Theirs	eu	deddf	law/act	noun-fem	Cyhoeddwyd testun eu [ ] nhw.		NONE	deddf	The possessive "eu" does not usually cause any mutation on the word that follows	Nid yw eu (“their”) yn achosi treiglad			
public/data/			c000076	Possessive	Possessive|Yours	dy	senedd	senedd/parliament	noun-fem	Dyma dy [ ] di.		NONE	senedd	This is a spot where dy often causes soft mutation, but words starting with s do not change, so it stays senedd.	Dyma fan lle mae dy yn aml yn achosi treiglad meddal, ond nid yw geiriau sy’n dechrau gyda s yn newid, felly mae’n aros yn senedd.			
